english,zh_character,zh_pinyin,ko_character,ko_hangul,ko_romaja,ja_character,ja_kana,ja_romaji,vi_character,vi_quocngu,note
company,公司,gōngsī,會社,회사,hoesa,會社,かいしゃ,kaisha,公司,công ty,
to introduce,介紹,jièshào,紹介,소개,sogae,紹介,しょうかい,shōkai,介紹,giới thiệu,
detective,偵探,zhēntàn,探偵,탐정,t'amjŏng,探偵,たんてい ,tantei,探子,thám tử,Japanese and Korean also have the term 刑事/けいじ/형사
weather,天氣,tiānqì,日氣,일기,ilgi,天氣,てんき,tenki,時節,thời tiết ,Korean more colloquially uses the native term 날씨
geometry,幾何學,jǐhéxué,幾何學,기하학,kihahak,幾何學,きかがく,kikagaku,形學,hình học,
grammar,語法,yǔfǎ,文法,문법,munpŏp,文法,ぶんぽう,bunpō,語法,ngữ pháp,
logic,邏輯,luóji,論理,논리,nolli,論理,ろんり,ronri,論理,luận lý,
president,總統,zǒngtǒng,大統領,대통령,taet'ongnyŏng,大統領,だいとうりょう,daitōryō,總統,tổng thống,"Japanese and Korean do have the term 總統/そうとう/총통 in a more narrow or historical sense, e.g. Generalissimo or Führer"
gun,槍,qiāng,銃,총,ch'ong,銃,じゅう,jū,銃,súng,
book,書,shū,冊 ,책,ch'aek,本,ほん,hon,冊 ,sách,
bank account,賬戶,zhànghù,計座,계좌,kyejwa,口座,こうざ,kōza,財款,tài khoản,
